,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
09,Bremer,07,1719,Denver,3,46,49,93.9,,7,57,64,89.1,,4,49,53,92.5,,0,56,56,100,,0,49,49,100,,1,54,55,98.2,,0,53,53,100,,,
77,Polk,11,1737,Des Moines Independent,768,1552,2320,66.9,,810,1402,2212,63.4,,968,1267,2235,56.7,,831,1140,1971,57.8,,622,1353,1975,68.5,,802,1172,1974,59.4,,524,1165,1689,69,,,
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N,,6,4,10,40,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
38,Grundy,07,1791,Dike-New Hartford,4,56,60,93.3,,7,49,56,87.5,,11,43,54,79.6,,12,53,65,81.5,,5,49,54,90.7,,5,55,60,91.7,,6,52,58,89.7,,,
31,Dubuque,01,1863,Dubuque,186,472,658,71.7,,173,522,695,75.1,,145,535,680,78.7,,179,574,753,76.2,,136,575,711,80.9,,183,534,717,74.5,,101,618,719,86,,,
07,Black Hawk,07,1908,Dunkerton,8,21,29,72.4,,3,20,23,87,,8,28,36,77.8,,6,25,31,80.6,,11,25,36,69.4,,10,21,31,67.7,,7,28,35,80,,,
43,Harrison,13,1917,Boyer Valley,0,25,25,100,,5,18,23,78.3,,5,26,31,83.9,,9,27,36,75,,2,29,31,93.5,,9,24,33,72.7,,4,23,27,85.2,,,
16,Cedar,09,1926,Durant,15,29,44,65.9,,12,31,43,72.1,,11,42,53,79.2,,15,27,42,64.3,,9,39,48,81.3,,12,37,49,75.5,,7,47,54,87,,,
99,Wright,05,1944,Eagle Grove,11,57,68,83.8,,5,47,52,90.4,,13,39,52,75,,10,40,50,80,,6,47,53,88.7,,12,38,50,76,,6,44,50,88,,,
61,Madison,11,1953,Earlham,9,33,42,78.6,,8,25,33,75.8,,8,41,49,83.7,,6,38,44,86.4,,7,44,51,86.3,,6,35,41,85.4,,4,37,41,90.2,,,
