County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
22,Clayton,01,1080,Central Comm School District,7,23,30,76.7,,10,10,20,50.0,,7,30,37,81.1,,23,8,31,25.8,,20,20,40,50.0,,14,22,36,61.1,,7,24,31,77.4,,8,24,32,75.0,,,
23,Clinton,09,1082,Central DeWitt School District,25,78,103,75.7,,27,76,103,73.8,,33,84,117,71.8,,14,99,113,87.6,,28,73,101,72.3,,13,105,118,89.0,,37,83,120,69.2,,41,91,132,68.9,,,
57,Linn,10,1089,Central City Comm School District,14,18,32,56.3,,7,14,21,66.7,,11,22,33,66.7,,11,24,35,68.6,,11,20,31,64.5,,9,21,30,70.0,,18,15,33,45.5,,16,18,34,52.9,,,
27,Decatur,13,1093,Central Decatur Comm School District,14,30,44,68.2,,15,39,54,72.2,,17,41,58,70.7,,15,43,58,74.1,,26,30,56,53.6,,19,45,64,70.3,,31,17,48,35.4,,13,17,30,56.7,,,
60,Lyon,12,1095,Central Lyon Comm School District,16,40,56,71.4,,12,45,57,78.9,,14,42,56,75.0,,10,50,60,83.3,,13,53,66,80.3,,7,50,57,87.7,,8,47,55,85.5,,8,46,54,85.2,,,
59,Lucas,15,1107,Chariton Comm School District,20,62,82,75.6,,29,57,86,66.3,,43,59,102,57.8,,33,74,107,69.2,,26,65,91,71.4,,15,68,83,81.9,,37,40,77,51.9,,38,55,93,59.1,,,
34,Floyd,07,1116,Charles City Comm School District,33,41,74,55.4,,42,50,92,54.3,,57,63,120,52.5,,42,66,108,61.1,,59,75,134,56.0,,62,67,129,51.9,,53,70,123,56.9,,61,64,125,51.2,,,
24,Crawford,12,1134,Charter Oak-Ute Comm School District,13,14,27,51.9,,8,12,20,60.0,,5,13,18,72.2,,15,13,28,46.4,,10,8,18,44.4,,4,8,12,66.7,,0,0,0,,,0,0,0,,,,
18,Cherokee,12,1152,Cherokee Comm School District,22,59,81,72.8,,48,42,90,46.7,,18,64,82,78.0,,19,59,78,75.6,,24,57,81,70.4,,15,71,86,82.6,,24,48,72,66.7,,23,47,70,67.1,,,
73,Page,13,1197,Clarinda Comm School District,27,50,77,64.9,,26,53,79,67.1,,47,37,84,44.0,,38,38,76,50.0,,30,59,89,66.3,,29,57,86,66.3,,20,46,66,69.7,,24,47,71,66.2,,,
99,Wright,05,1206,Clarion-Goldfield-Dows Comm School District,19,44,63,69.8,,12,46,58,79.3,,29,39,68,57.4,,10,60,70,85.7,,16,61,77,79.2,,12,51,63,81.0,,25,44,69,63.8,,13,40,53,75.5,,,
20,Clarke,13,1211,Clarke Comm School District,53,49,102,48.0,,42,54,96,56.3,,64,48,112,42.9,,44,60,104,57.7,,47,61,108,56.5,,27,75,102,73.5,,30,63,93,67.7,,39,43,82,52.4,,,
12,Butler,07,1215,Clarksville Comm School District,5,20,25,80.0,,6,13,19,68.4,,3,19,22,86.4,,7,17,24,70.8,,6,17,23,73.9,,5,13,18,72.2,,12,10,22,45.5,,9,16,25,64.0,,,
21,Clay,05,1218,Clay Central-Everly Comm School District,1,10,11,90.9,,4,10,14,71.4,,8,7,15,46.7,,2,12,14,85.7,,2,12,14,85.7,,6,8,14,57.1,,9,11,20,55.0,,6,6,12,50.0,,,
52,Johnson,10,1221,Clear Creek Amana Comm School District,46,152,198,76.8,,31,139,170,81.8,,40,155,195,79.5,,52,139,191,72.8,,26,155,181,85.6,,28,129,157,82.2,,54,138,192,71.9,,32,95,127,74.8,,,
17,Cerro Gordo,07,1233,Clear Lake Comm School District,48,52,100,52.0,,37,67,104,64.4,,38,73,111,65.8,,23,78,101,77.2,,16,77,93,82.8,,22,79,101,78.2,,33,71,104,68.3,,25,68,93,73.1,,,
23,Clinton,09,1278,Clinton Comm School District,67,192,259,74.1,,71,190,261,72.8,,71,171,242,70.7,,92,150,242,62.0,,95,142,237,59.9,,90,131,221,59.3,,99,133,232,57.3,,91,112,203,55.2,,,
50,Jasper,11,1332,Colfax-Mingo Comm School District,23,31,54,57.4,,16,23,39,59.0,,16,35,51,68.6,,24,33,57,57.9,,26,32,58,55.2,,16,31,47,66.0,,17,40,57,70.2,,22,45,67,67.2,,,
57,Linn,10,1337,College Comm School District,116,299,415,72.0,,109,328,437,75.1,,177,211,388,54.4,,176,251,427,58.8,,150,287,437,65.7,,147,291,438,66.4,,143,262,405,64.7,,127,236,363,65.0,,,
